u,eta_index,quantity,actual_Frobenius,first_order_Frobenius,remainder_Frobenius,relative_remainder
0.004,7,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,7,C,5.6150404924499e-07,5.62826910862313e-07,1.395186898006766e-09,0.0024847316771495474
0.004,7,mean,6.792691573797953e-08,6.809196448768613e-08,1.6549888943393786e-10,0.0024364257913951416
0.004,7,covariance,4.078611581330255e-08,4.0896577052556846e-08,1.1063870773015923e-10,0.0027126561459444977
0.004,8,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,8,C,0.0008184928713232299,0.0008205296067519422,2.1630774900227216e-06,0.0026427566638738673
0.004,8,mean,0.00012475925105258026,0.00012508788284258107,3.2951300489499066e-07,0.0026411909506904316
0.004,8,covariance,1.9351499123103056e-05,1.9402091198422537e-05,5.0771574453330415e-08,0.0026236507120379147
0.004,9,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,9,C,0.0008184928713232229,0.0008205296067519422,2.163077489911844e-06,0.0026427566637384245
0.004,9,mean,0.0001247592510528977,0.00012508788284258107,3.2951300455616346e-07,0.0026411909479678625
0.004,9,covariance,8.619904800525212e-05,8.645246378622315e-05,2.539673810914621e-07,0.0029462898601384535
0.004,10,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,10,C,0.0008184928713234777,0.0008205296067519422,2.16307748971482e-06,0.0026427566634968864
0.004,10,mean,0.00012475925105258026,0.00012508788284258107,3.2951300489499066e-07,0.0026411909506904316
0.004,10,covariance,2.3940088271320684e-05,2.4000482467018885e-05,6.055159239471741e-08,0.002529296956154331
0.004,11,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,11,C,0.0008184928713229659,0.0008205296067519422,2.163077490144537e-06,0.0026427566640235484
0.004,11,mean,0.00012475925105258725,0.00012508788284258107,3.295130048432012e-07,0.0026411909502751683
0.004,11,covariance,9.073841088889681e-05,9.100134423010806e-05,2.6352445433912513e-07,0.002904221616375819
0.004,12,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,12,C,0.00561504049621088,0.00562826910862313,1.3951865553948604e-05,0.00248473106531708
0.004,12,mean,0.0006792691619906582,0.0006809196448768613,1.6549839549971588e-06,0.0024364185033029944
0.004,12,covariance,0.000775169043180578,0.000777033982888654,1.8700730331513606e-06,0.0024124712533388944
0.004,13,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,13,C,0.005615040496208619,0.00562826910862313,1.3951865555986506e-05,0.0024847310656810166
0.004,13,mean,0.0006792691620007045,0.0006809196448768613,1.654983944983741e-06,0.002436418488525502
0.004,13,covariance,0.001087487649253875,0.001090227074359259,2.7485869036590516e-06,0.002527464937689045
0.004,14,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,14,C,0.005615040496211401,0.00562826910862313,1.3951865553343973e-05,0.002484731065209169
0.004,14,mean,0.0006792691620007045,0.0006809196448768613,1.654983944983741e-06,0.002436418488525502
0.004,14,covariance,0.0008064980275468574,0.0008084287037322827,1.9356361521220935e-06,0.002400050695734198
0.004,15,Gamma,0.0008029550999017869,0.0008054348265958402,2.645456959751771e-06,0.0032946511705017494
0.004,15,C,0.005615040496210565,0.00562826910862313,1.3951865554039265e-05,0.0024847310653333655
0.004,15,mean,0.0006792691619957387,0.0006809196448768613,1.65498394957517e-06,0.00243641849530268
0.004,15,covariance,0.0011198444748317675,0.0011226513355492098,2.815889459350579e-06,0.0025145361901915938
